request	terminal_owner
display_status	lifecycle
display_pairing_approve	lifecycle
display_pairing_reject	lifecycle
display_assignment_put	lifecycle
display_assignment_revoke	lifecycle
display_device_revoke	lifecycle
assignment_list	mechanics
assignment_grant	mechanics
assignment_revoke	mechanics
world_activate	mechanics
work	work
member_add	mechanics
member_remove	mechanics
member_set_role	mechanics
agent_add	mechanics
agent_provision	mechanics
key_rotate	mechanics
invite_revoke	mechanics
device_invite	mechanics
device_add	mechanics
device_revoke	mechanics
device_list	mechanics
space_recover	mechanics
space_elevate	mechanics
space_recover_approve	mechanics
space_elevate_approve	mechanics
space_reshare	mechanics
space_custody_export	mechanics
space_custody_import	mechanics
recover	mechanics
members	mechanics
member_log	mechanics
book_list	lifecycle
book_get	lifecycle
book_put	lifecycle
book_delete	lifecycle
book_set_picture	lifecycle
book_link	lifecycle
book_unlink	lifecycle
book_merge	lifecycle
book_claim_self	lifecycle
book_lookup	lifecycle
book_resolve	lifecycle
book_migrate_status	lifecycle
book_migrate	lifecycle
book_propose	lifecycle
book_suggest_accept	lifecycle
book_suggest_dismiss	lifecycle
subscribe	observation
status	observation
storage	observation
diagnose	lifecycle
id	mechanics
whoami	mechanics
sponsor_watch	mechanics
sync	station
invite	mechanics
join	mechanics
connect	station
seed_add	lifecycle
seed_list	lifecycle
seed_remove	lifecycle
log	lifecycle
who	station
live	station
live_subscribe	station
signals	station
config_reload	lifecycle
stop	lifecycle
hello	lifecycle
host_space_found	lifecycle
host_space_enter	lifecycle
host_device_consent	lifecycle
host_config_list	lifecycle
host_config_get	lifecycle
host_config_set	lifecycle
host_config_unset	lifecycle
host_orbit_forget	lifecycle
host_orbit_prune	lifecycle
host_orbit_rebuild	lifecycle
host_install_mcp	lifecycle
host_update	lifecycle
host_restart	lifecycle
host_context	lifecycle
